French,English,Spanish,
partie,part,parte,
histoire,history,historia,
chercher,search,buscar,
seulement,only,solamente,
police,police,policía,
pensais,thought,pensamiento,
aide,help,ayuda,
demande,request,solicitud,
genre,kind,amable,
mois,month,mes,
frÃ¨re,brother,hermano,
laisser,let,dejar,
car,because,porque,
mettre,to put,poner,
aucun,no,no,
laisse,leash,Correa,
eux,them,ellos,
ville,city,ciudad,
chaque,each,cada,
parlÃ©,speak,hablar,
arrivÃ©,come,venir,
devrait,should,deberían,
bÃ©bÃ©,baby,bebé,
longtemps,long time,largo tiempo,
heures,hours,horas,
vont,will,voluntad,
pendant,while,tiempo,
revoir,meet again,reunirse de nuevo,
aucune,any,alguna,
place,square,cuadrado,
parle,speak,hablar,
compris,understood,comprendido,
savais,knew,supo,
Ã©taient,were,fueron,
attention,Warning,Advertencia,
voici,here is,aquí está,
pourrais,could,podría,
affaire,case,caso,
donner,give,dar,
type,type,escribe,
leurs,their,su,
donnÃ©,given,dado,
train,train,tren,
corps,body,cuerpo,
endroit,place,lugar,
yeux,eyes,ojos,
faÃ§on,way,camino,
Ã©coute,listen,escucha,
dont,whose,cuyo,
trouve,find,encontrar,
premier,first,primero,
perdu,lost,perdió,
main,hand,mano,
premiÃ¨re,first,primero,
cÃ´tÃ©,side,lado,
pouvoir,power,poder,
vieux,old,viejo,
sois,be,ser,
tiens,here,aquí,
matin,morning,Mañana,
tellement,so much,mucho,
enfant,child,niño,
point,point,punto,
venu,came,llegó,
suite,after,después,
pardon,sorry,perdón,
venez,come,venir,
devant,in front of,en frente de,
vers,towards,hacia,
minutes,minutes,minutos,
demandÃ©,request,solicitud,
chambre,bedroom,Cuarto,
mis,placed,metido,
belle,beautiful,hermosa,
droit,law,ley,
aimerais,would like to,gustaria,
aujourd'hui,today,hoy dia,
mari,husband,marido,
cause,cause,porque,
enfin,finally,finalmente,
espÃ¨re,hope,esperar,
eau,water,agua,
attendez,Wait,Esperar,
parti,left,izquierda,
nouvelle,new,nuevo,
boulot,job,trabajo,
arrÃªter,Stop,Parada,
dirait,would say,diría,
terre,Earth,tierra,
compte,account,cuenta,
donne,given,dado,
loin,far,lejos,
fin,end,fin,
croire,believe,creer,
chÃ©rie,sweetheart,cariño,
gros,large,grande,
plutÃ´t,rather,bastante,
aura,will have,tendrá,
filles,girls,chicas,
jouer,to play,para jugar,
bureau,office,oficina,
